City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
185,huamachuco,-7.8,-78.0667,12.37,77,40,1.48,PE,1713792275
186,namtsy,62.7161,129.6658,-0.05,99,100,3.23,RU,1713791758
187,goba,7.0167,39.9833,16.86,78,100,2.08,ET,1713792278
188,nikolayevsk-on-amure,53.1406,140.73,-4.03,95,53,1.19,RU,1713792278
189,akureyri,65.6835,-18.0878,8.78,45,17,2.42,IS,1713792279
190,melfort,52.8667,-104.6177,3.42,92,94,3.0,CA,1713792280
191,port alfred,-33.5906,26.891,20.0,84,100,10.01,ZA,1713792282
192,remire-montjoly,4.9167,-52.2667,25.65,91,100,3.14,GF,1713791702
193,tuy hoa,13.0833,109.3,26.49,79,10,2.88,VN,1713792284
194,mount isa,-20.7333,139.5,21.76,40,3,3.99,AU,1713792285
195,vershino-darasunskiy,52.35,115.5167,-1.05,95,83,1.87,RU,1713792286
196,barcelos,41.5388,-8.6151,22.73,35,2,0.22,PT,1713792287
197,bredasdorp,-34.5322,20.0403,24.05,50,23,5.07,ZA,1713792288
198,hindoria,23.9,79.5667,34.63,27,100,6.58,IN,1713792289
199,usinsk,65.9939,57.5281,-5.6,74,80,5.74,RU,1713792290
200,sault ste. marie,46.5168,-84.3333,3.39,53,85,3.77,CA,1713792290
201,cherdyn',60.403,56.4787,7.14,54,32,4.09,RU,1713792291
202,joshimath,30.5667,79.5667,9.62,93,100,0.18,IN,1713792292
203,tiksi,71.6872,128.8694,-9.2,94,100,6.26,RU,1713792294
204,port saint john's,-31.6229,29.5448,25.54,82,100,4.93,ZA,1713792295
205,port elizabeth,-33.918,25.5701,20.27,72,7,7.96,ZA,1713792296
206,suva,-18.1416,178.4415,25.53,90,100,2.09,FJ,1713792297
207,port mathurin,-19.6833,63.4167,27.16,78,44,6.9,MU,1713792297
208,bethanie,-26.4833,17.15,33.26,15,8,8.76,NA,1713792298
209,laojunmiao,39.8333,97.7333,9.84,20,0,5.52,CN,1713792299
210,qaisumah,28.3112,46.1273,31.31,21,0,8.07,SA,1713792300
211,pirallahi,40.4723,50.333,15.47,73,39,9.87,AZ,1713792301
212,gadzhiyevo,69.2551,33.3362,-6.63,73,0,9.93,RU,1713792302
213,sao joao da barra,-21.6403,-41.0511,23.99,71,0,3.52,BR,1713792303
214,klyuchi,52.2667,79.1667,14.78,30,2,5.95,RU,1713792304
215,fort saskatchewan,53.7168,-113.2187,6.16,58,100,8.04,CA,1713792305
216,yarmouth,41.7057,-70.2286,6.54,53,0,7.83,US,1713792306
217,anadyr,64.75,177.4833,-12.22,90,100,0.26,RU,1713792307
218,nyurba,63.2842,118.3319,0.17,99,100,1.15,RU,1713792308
219,hadibu,12.65,54.0333,29.59,68,83,2.01,YE,1713792309
220,susuman,62.7833,148.1667,-13.04,96,65,0.45,RU,1713792309
221,ekero,0.3253,34.5044,27.55,56,91,2.78,KE,1713792310
222,burgersdorp,-30.9977,26.3286,25.29,30,100,10.35,ZA,1713792311
223,juneau,58.3019,-134.4197,6.67,97,100,2.26,US,1713792054
224,kualakapuas,-3.0091,114.3876,25.79,96,100,1.24,ID,1713792313
225,san luis de la loma,17.2706,-100.8939,24.34,47,0,1.2,MX,1713792314
226,axim,4.8699,-2.2405,32.1,59,98,3.59,GH,1713791752
227,kone,-21.0595,164.8658,23.75,92,59,1.96,NC,1713792316
228,albertina,-22.2008,-46.6158,23.01,48,0,1.34,BR,1713792316
229,trat,12.5,102.5,27.87,80,8,1.99,TH,1713792317
230,saint-pierre,-21.3393,55.4781,26.49,82,48,1.29,RE,1713792318
231,sinop,41.7711,34.8709,16.11,60,12,3.64,TR,1713792319
232,puerto aysen,-45.4,-72.7,2.66,87,100,0.41,CL,1713792320
233,carutapera,-1.195,-46.02,26.95,91,100,1.55,BR,1713792321
234,luninyets,52.2472,26.8047,8.47,64,94,7.32,BY,1713792322
235,siavonga,-16.5382,28.7088,30.37,35,0,2.6,ZM,1713792323
236,jalai nur,49.45,117.7,5.76,73,100,6.69,CN,1713792323
237,daru,-9.0763,143.2092,27.69,87,100,5.08,PG,1713792324
238,lata,40.1629,-8.3327,22.69,31,4,4.88,PT,1713792325
239,tralee,52.2704,-9.7026,15.52,70,76,3.32,IE,1713792326
240,hasaki,35.7333,140.8333,16.84,73,100,5.57,JP,1713792327
241,delaware,39.0004,-75.4999,8.52,50,99,3.57,US,1713792328
242,muang phonsavan,19.45,103.2167,23.67,47,2,1.07,LA,1713792329
243,portland,45.5234,-122.6762,4.46,89,25,1.3,US,1713791801
244,lebu,-37.6167,-73.65,11.87,78,93,4.76,CL,1713792331
245,hami,42.8,93.45,20.79,12,0,1.15,CN,1713792332
246,tindouf,27.6711,-8.1474,28.38,19,100,5.06,DZ,1713792332
247,tsiombe,-25.3,45.4833,25.8,53,0,5.29,MG,1713792333
248,trondheim,63.4305,10.3951,5.15,56,80,1.34,NO,1713792334
249,kolonia,50.9333,6.95,10.24,35,100,4.17,DE,1713792335
250,shenjiamen,29.9576,122.298,14.25,95,60,1.54,CN,1713792336
251,quixeramobim,-5.1992,-39.2928,28.38,74,100,2.27,BR,1713792337
252,lompoc,34.6391,-120.4579,11.43,94,97,0.88,US,1713792338
253,sorokino,53.75,84.9167,6.33,62,64,5.39,RU,1713792339
254,taoudenni,22.6783,-3.9836,35.83,8,100,5.05,ML,1713792339
255,okny,47.5404,29.46,12.07,55,100,2.25,UA,1713792340
256,lorengau,-2.0226,147.2712,27.97,74,26,2.36,PG,1713792342
257,talnakh,69.4865,88.3972,-15.21,90,84,1.86,RU,1713792343
258,okahandja,-21.9833,16.9167,32.18,14,3,2.64,NA,1713792344
259,qarazhal,48.0078,70.7903,24.1,26,5,7.61,KZ,1713792345
260,samfya,-11.3649,29.5565,27.15,51,8,1.57,ZM,1713792346
261,yardimli,38.9206,48.2372,16.09,71,91,4.06,AZ,1713792347
262,bandar-e lengeh,26.5579,54.8807,28.9,48,2,1.91,IR,1713792347
263,vilyuchinsk,52.9306,158.4028,0.89,82,7,2.67,RU,1713792348
264,karratha,-20.7377,116.8463,25.9,55,4,3.24,AU,1713792349
265,piti village,13.4626,144.6933,27.57,72,80,6.67,GU,1713792350
266,liwale,-9.7667,37.9333,26.52,75,94,3.06,TZ,1713792351
267,charters towers,-20.1,146.2667,20.01,81,10,3.17,AU,1713792352
268,taungdwingyi,20.0167,95.55,36.77,24,62,2.81,MM,1713792353
269,reggane,26.7158,0.1714,31.64,14,0,7.32,DZ,1713792354
270,armidale,-30.5167,151.65,10.34,82,77,2.93,AU,1713792355
271,abu jibeha,11.4562,31.2285,40.31,11,4,4.85,SD,1713792356
272,sabha,27.0377,14.4283,41.06,4,99,10.31,LY,1713792357
273,nova sintra,14.8667,-24.7167,22.71,71,87,6.67,CV,1713792358
274,sinabang,2.4803,96.3801,27.77,84,100,1.83,ID,1713792359
275,alofi,-19.0595,-169.9187,26.49,75,94,5.34,NU,1713792359
276,ugoofaaru,5.6667,73.0,29.96,77,100,4.51,MV,1713792360
277,akankpa,5.1264,8.1898,35.41,46,93,2.0,NG,1713792361
278,kolpashevo,58.3131,82.9089,0.04,73,100,6.6,RU,1713792362
279,gamba,-2.65,10.0,30.45,69,100,3.12,GA,1713792363
